MAP NAME                  | DIFF       | STARS      | PTS    | CREATOR                   | DATE           
==========================================================================================================
001                       | Main       | ★☆☆        | 6      | Beautemps                 | 2023-07-19     
002                       | Main       | ★★☆        | 8      | Beautemps                 | 2021-04-23     
003                       | Main       | ★★☆        | 10     | Beautemps                 | 2021-03-05     
004                       | Hard       | ★☆☆        | 14     | Beautemps                 | 2022-01-11     
005                       | Main       | ★★★        | 20     | Beautemps                 | 2023-05-04     
007                       | Hard       | ★★☆        | 18     | Beautemps                 | 2021-06-18     
008                       | Hard       | ★☆☆        | 20     | Beautemps                 | 2021-10-12     
012                       | Insane     | ★★☆        | 32     | Beautemps                 | 2021-05-14     
069                       | Extreme    | ★☆☆        | 39     | Beautemps                 | 2021-12-17     
0Percent                  | Hard       | ★★☆        | 24     | Zonsa                     | 2019-06-06     
1Spiral                   | Insane     | ★★★        | 47     | FlipLipp                  | 2026-01-04     
2020                      | Hard       | ★☆☆        | 16     | Afterbjörn                | 2025-06-28     
2021                      | Easy       | ★★★        | 5      | Afterbjörn                | 2025-06-02     
2025                      | Main       | ★★★        | 13     | Afterbjörn                | 2025-03-09     
2026                      | Main       | ★☆☆        | 6      | Afterbjörn                | 2026-01-01     
24komyu                   | Hard       | ★★★        | 22     | Komyu                     | 2023-06-04     
333                       | Insane     | ★★★        | 42     | Mixi, mops333             | 2021-01-01     
36_5_buse                 | Extreme    | ★☆☆        | 44     | 夜                         | 2024-05-31     
48komyu                   | Insane     | ★☆☆        | 30     | Komyu                     | 2023-10-18     
4Apfelsaft                | Main       | ★★★        | 13     | Bl0odDens                 | 2015-05-15     
700-70                    | Hard       | ★☆☆        | 14     | Яна Соли                  | 2025-03-30     
70s                       | Extreme    | ★☆☆        | 44     | 夜                         | 2024-12-30     
7DeadlySins               | Hard       | ★★☆        | 24     | Afterburn and ZXC¿Girl?   | 2025-08-24     
80s                       | Extreme    | ★☆☆        | 44     | Mixi                      | 2023-11-12     
90s                       | Extreme    | ★☆☆        | 44     | Tr3agle                   | 2023-08-10     
A_Christmas_Carol         | Hard       | ★★★        | 41     | Milaseq_, TheSunSan, ipoopi, Krumplee, Route66, Afterbjörn, FJP, ejjie | 2025-12-20     
Abyss                     | Hard       | ★★★        | 25     | zale, BoWser              | 2022-03-08     
ACID                      | Insane     | ★★☆        | 32     | RaiNy                     | 2019-02-02     
Action                    | Main       | ★★★        | 11     | bzw                       | 2018-07-22     
ActionHallas              | Main       | ★★★        | 8      | Action & Hallas           | Released during a sunset
Aerodynamics              | Extreme    | ★☆☆        | 44     | TheSunSan                 | 2025-12-29     
afkomyu                   | Hard       | ★★★        | 25     | Komyu                     | 2023-02-02     
afOatmeal                 | Main       | ★★★        | 13     | Komyu                     | 2023-10-17     
After4Rising              | Easy       | ★★☆        | 3      | Afterbjörn                | 2025-07-13     
After4zuxcess             | Hard       | ★★☆        | 18     | Afterbjörn                | 2024-11-04     
Afternight                | Main       | ★☆☆        | 6      | Ravie                     | 2019-01-27     
Aip-Gores                 | Easy       | ★★★        | 5      | Unknown                   | 2017-07-02     
Aip-Hardcores             | Hard       | ★★★        | 25     | Themix                    | 2015-09-17     
Aip_X                     | Extreme    | ★★★        | 88     | Mixi                      | 2025-03-01     
AipFlip                   | Hard       | ★★★        | 29     | FlipLipp                  | 2018-10-12     
